time_s,acceleration_m_s2
0.0,0.0037253561475842447
0.001,0.03220777859107451
0.002,0.06348067513604799
0.003,0.08374463572077379
0.004,0.07465891990386501
0.005,0.07577909225786705
0.006,0.09493514591422858
0.007,0.10284106232002098
0.008,0.11428101568882465
0.009000000000000001,0.14269256893158075
0.01,0.14805755276743124
0.011,0.14791937235353045
0.012,0.14061178829185356
0.013000000000000001,0.10525673117594903
0.014,0.08904837001114767
0.015,0.08775715126460988
0.016,0.08275350982829162
0.017,0.09470189309941121
0.018000000000000002,0.08359064228936623
0.019,0.06785622366494937
0.02,0.06639332266118932
0.021,0.024259848320702042
0.022,-0.0012400049517446406
0.023,-0.030982816972700597
0.024,-0.03093032810382655
0.025,-0.023609384165924216
0.026000000000000002,-0.028817469594978162
0.027,-0.018414248124704106
0.028,-0.03527122854875651
0.029,-0.04835422716321766
0.03,-0.06485789545636593
0.031,-0.05165137634082924
0.032,-0.05762400136895778
0.033,-0.04581421588930721
0.034,-0.007072480671578603
0.035,-0.000901387107498039
0.036000000000000004,0.02281148368691535
0.037,0.011211306361745561
0.038,0.017744805317552664
0.039,0.03570777765957596
0.04,0.056434194187481516
0.041,0.07906941689504349
0.042,0.10852604377515201
0.043000000000000003,0.13514189578251248
0.044,0.14387476858471063
0.045,0.15483658407088788
0.046,0.15372369564325009
0.047,0.16118539638031937
0.048,0.15782886253569087
0.049,0.15225121110466389
0.05,0.1828629634957025
0.051000000000000004,0.18978870400214504
0.052000000000000005,0.18974580516991882
0.053,0.1881598380715648
0.054,0.16928684736195587
0.055,0.1429680607894985
0.056,0.10856858528690727
0.057,0.10046731406178665
0.058,0.10109826181157827
0.059000000000000004,0.10358764703035535
0.06,0.08464846467137609
0.061,0.06845950596966573
0.062,0.03371536106202574
0.063,0.00197275846356505
0.064,-0.008897903110992011
0.065,-0.019455232482402808
0.066,-0.03268867678755985
0.067,-0.01985259105081921
0.068,-0.02031247687468476
0.069,-0.030226546536133932
0.07,-0.033161084330204725
0.07100000000000001,-0.038633099874723714
0.07200000000000001,-0.060850869170329475
0.073,-0.048481609438223744
0.074,-0.0664116459372395
0.075,-0.017673576870185732
0.076,0.0015249403717316182
0.077,0.017390276930192673
0.078,0.029384989259487966
0.079,0.015246250345398435
0.08,0.0289520955122761
0.081,0.04004043524117745
0.082,0.06539669572107562
0.083,0.0756742196686681
0.084,0.10021384619136481
0.085,0.12243574866946268
0.08600000000000001,0.14079779471410137
0.08700000000000001,0.13218495006050598
0.088,0.11519807865855802
0.089,0.1139695341749937
0.09,0.10902313443080434
0.091,0.12143648702798696
